date,transaction_costs
2015-01-02,0.0
2015-01-05,323.5822528600693
2015-01-07,305.35756567139936
2015-01-08,461.39463014246047
2015-01-09,610.1804261592232
2015-01-12,422.63648825898986
2015-01-13,445.56197748846233
2015-01-14,416.7545090971905
2015-01-15,353.0868859641433
2015-01-16,316.055075687413
2015-01-20,456.51292185144007
2015-01-21,312.6602979247791
2015-01-22,709.0092015168948
2015-01-23,484.4483997213059
2015-01-26,464.0510200567861
2015-01-27,310.47557359239124
2015-01-28,515.877773041083
2015-01-29,495.1154422135935
2015-01-30,588.0405218258112
2015-02-02,589.4945082641581
2015-02-03,613.0918091360834
2015-02-04,247.20210005617497
2015-02-05,647.3860284121901
2015-02-06,576.8475044180806
2015-02-09,769.9349921126144
2015-02-10,505.1008138329458
2015-02-11,536.95982028733
2015-02-12,599.8797709461218
2015-02-13,441.20190447605916
2015-02-17,713.0366238395354
2015-02-18,681.5688239089573
2015-02-19,374.6642721910681
2015-02-20,363.90389966756294
2015-02-23,494.06533931103445
2015-02-24,556.7057481677106
2015-02-25,394.9862361671966
2015-02-26,360.47306010213276
2015-02-27,606.3058202125738
2015-03-02,465.0746521135674
2015-03-03,828.1275982230253
2015-03-04,558.4551253714873
2015-03-05,448.01660996297187
2015-03-06,715.8990976439746
2015-03-09,207.95366985415177
2015-03-10,502.0079610439565
2015-03-11,641.7226385252679
2015-03-12,630.2438293749387
2015-03-13,653.5621924485245
2015-03-16,566.5809768363711
2015-03-17,417.4786833864488
2015-03-18,504.0681815643952
2015-03-19,800.6556755150269
2015-03-20,572.5632906587093
2015-03-23,680.3474646915589
2015-03-24,425.7194679728677
2015-03-25,551.3387173364096
2015-03-26,684.5937493956808
2015-03-27,530.6670635265664
2015-03-30,511.35368472829265
2015-03-31,205.7085278877881
2015-04-01,610.8960147721887
2015-04-02,529.4498075379244
2015-04-07,655.5414719856255
2015-04-08,682.087914284639
2015-04-09,627.577954961068
2015-04-10,762.2616881428885
2015-04-13,348.4307457603463
2015-04-14,343.7071832351251
2015-04-15,583.3006796707607
2015-04-16,316.555710361262
2015-04-17,646.0458312581154
2015-04-20,691.7696895864283
2015-04-21,379.21670828956735
2015-04-22,537.6075222265637
2015-04-23,407.24931720772463
2015-04-24,380.07800153349484
2015-04-27,776.5187585636492
2015-04-28,551.9541288489767
2015-04-29,364.7829992749668
2015-04-30,94.77788190491364
2015-05-04,722.075812495503
2015-05-05,436.12418755584997
2015-05-06,697.5209830607292
2015-05-07,649.5979992130414
2015-05-08,619.8804150322838
2015-05-11,271.94096084374314
2015-05-12,558.8513781888227
2015-05-13,708.8767959826765
2015-05-15,646.5623092629883
2015-05-18,510.57536775584174
2015-05-19,641.9329345625088
2015-05-20,572.7558305210132
2015-05-21,454.4673236357029
2015-05-22,656.1818241817797
2015-05-26,481.37929393365033
2015-05-27,818.3677248456233
2015-05-28,707.6440059482002
2015-05-29,475.3084826008319
2015-06-01,629.8983380189283
2015-06-02,670.5161962314891
2015-06-03,531.8838646561034
2015-06-04,697.9405410921845
2015-06-05,312.35688071707375
2015-06-08,715.4231866359992
2015-06-09,647.0028024035122
2015-06-10,495.8319790828487
2015-06-11,652.3564181600406
2015-06-12,512.1956517486886
2015-06-15,683.4511933659982
2015-06-16,637.1874668541519
2015-06-17,687.7930289187259
2015-06-18,655.4642384810768
2015-06-22,652.6467782253321
2015-06-23,799.2486615814327
2015-06-24,924.9717006742588
2015-06-25,518.0693843393656
2015-06-26,693.1314715203957
2015-06-29,644.7247425051523
2015-06-30,525.9942370828057
2015-07-01,469.35215578897487
2015-07-02,474.56222945717593
2015-07-06,613.4394046809975
2015-07-07,841.1534280211806
2015-07-08,495.74520227523
2015-07-09,786.1006003734233
2015-07-10,676.795104428503
2015-07-13,558.2342850269397
2015-07-14,509.46980629692007
2015-07-15,776.964610994576
2015-07-16,857.3137444471948
2015-07-17,822.323539758077
2015-07-20,385.88642450836625
2015-07-21,482.51927418630095
2015-07-22,820.9006575690139
2015-07-23,734.9475061353447
2015-07-24,610.0215075122322
2015-07-27,609.9835003182166
2015-07-28,884.83520117746
2015-07-29,562.3422803430747
2015-07-30,665.7119482619173
2015-07-31,620.4272832987295
2015-08-03,594.9041496272179
2015-08-04,729.1839276675827
2015-08-05,613.6249824759717
2015-08-06,453.49683132392266
2015-08-07,653.8981131371378
2015-08-10,942.2725442858272
2015-08-11,408.71634229753516
2015-08-12,673.5368408992409
2015-08-13,728.0315407052435
2015-08-14,760.0919916053908
2015-08-17,421.8139111099241
2015-08-18,558.392311121457
2015-08-19,716.4226383250744
2015-08-20,708.1557139041826
2015-08-21,854.8556554559632
2015-08-24,440.34694957208507
2015-08-25,475.6029317975968
2015-08-26,970.8202904687012
2015-08-27,419.1688325111845
2015-08-28,609.6558926131573
2015-08-31,654.7828376534844
2015-09-01,699.8355834152194
2015-09-02,676.704885448512
2015-09-03,544.844448418705
2015-09-04,333.33788348711045
2015-09-08,703.7169594614128
2015-09-09,536.3019354541892
2015-09-10,818.4950425668175
2015-09-11,604.6141138781451
2015-09-14,448.79550771158773
2015-09-15,610.3076486750479
2015-09-16,828.6315753387136
2015-09-17,549.4909624612127
2015-09-18,378.3530536772562
2015-09-21,876.0866708277659
2015-09-22,788.1910220617099
2015-09-23,423.3088628472688
2015-09-24,595.6941461150628
2015-09-25,771.741627333011
2015-09-28,429.496129474596
2015-09-29,705.4566289242797
2015-09-30,500.1123875693064
2015-10-01,590.6323494305047
2015-10-02,477.51402452304313
2015-10-05,651.9775907608683
2015-10-06,584.8621230773708
