date,daily_return
2015-01-02,0.0
2015-01-05,-0.012975705629066844
2015-01-07,0.01168027580101387
2015-01-08,0.0027055750663079192
2015-01-09,-0.001666447388620324
2015-01-12,0.00790291605948557
2015-01-13,0.018861801613965393
2015-01-14,-0.018442702749316666
2015-01-15,0.0036705201587085455
2015-01-16,0.014670566832957591
2015-01-20,0.025336346374321105
2015-01-21,0.012069664506710385
2015-01-22,0.013213879097839769
2015-01-23,0.030165933323283968
2015-01-26,-0.011318292283669566
2015-01-27,-0.012024454370368722
2015-01-28,0.004205186810437179
2015-01-29,-0.0009683226152545125
2015-01-30,0.01767347211687811
2015-02-02,-0.0042726885715725456
2015-02-03,0.006597978638222736
2015-02-04,0.01432125544257041
2015-02-05,0.021134412000435483
2015-02-06,-0.002447001941210939
2015-02-09,0.023717272961302056
2015-02-10,0.0005523522513831542
2015-02-11,-0.004685856217172685
2015-02-12,1.1791894933855032e-05
2015-02-13,0.005351171241680566
2015-02-17,0.02348092218455699
2015-02-18,0.014929956791965064
2015-02-19,-0.005299825084766028
2015-02-20,-0.005200689435246448
2015-02-23,0.0007717989602051743
2015-02-24,0.008649891089476272
2015-02-25,0.0009460591086090814
2015-02-26,0.002390975431962447
2015-02-27,-0.0057941001079687094
2015-03-02,-0.004427981711983741
2015-03-03,-0.004586918769992492
2015-03-04,0.009154038506704178
2015-03-05,-0.003796251189090143
2015-03-06,0.01074677301048806
2015-03-09,-0.0017521164435455913
2015-03-10,-0.007001942045010385
2015-03-11,0.011132374977647656
2015-03-12,-0.0014659816042302924
2015-03-13,-0.004579680982755226
2015-03-16,-0.0035046610878972
2015-03-17,0.00852694416893817
2015-03-18,-0.0003329482333671839
2015-03-19,0.008089539050149855
2015-03-20,0.001570572978454316
2015-03-23,0.002586934987941178
2015-03-24,0.005737449252670758
2015-03-25,-0.0005319033443158918
2015-03-26,-0.01729441133310809
2015-03-27,0.006094621915580523
2015-03-30,0.012382682488353575
2015-03-31,-0.01102652158090514
2015-04-01,0.0059786713263580565
2015-04-02,0.0004782423136964842
2015-04-07,0.009296473605643524
2015-04-08,0.010714456837008108
2015-04-09,0.013931872567535414
2015-04-10,0.004659797471857073
2015-04-13,0.013916913438583995
2015-04-14,0.0015025326382869862
2015-04-15,-0.008591560072812053
2015-04-16,0.006577799168829316
2015-04-17,-0.011227616974832953
2015-04-20,0.0018072751238073852
2015-04-21,0.014568812852740988
2015-04-22,-0.01091150831241412
2015-04-23,-0.005542009534926537
2015-04-24,0.0057913469736425496
2015-04-27,-0.006773819593760661
2015-04-28,0.0010403163513061572
2015-04-29,-0.00096969795334602
2015-04-30,-0.0023267542374968853
2015-05-04,0.005635828965905211
2015-05-05,-0.018143288501337496
2015-05-06,0.0017447119970295214
2015-05-07,0.01028576815410108
2015-05-08,0.020857731455636914
2015-05-11,-0.002767901978772948
2015-05-12,-0.016850619894416424
2015-05-13,0.009840693770531211
2015-05-15,-0.004770048509894437
2015-05-18,-0.005382086695013163
2015-05-19,0.018311181229327535
2015-05-20,0.008617658616189568
2015-05-21,0.002826821955380746
2015-05-22,0.005083294249466847
2015-05-26,0.00860765037792487
2015-05-27,0.019435812200093477
2015-05-28,-0.013895533019284654
2015-05-29,-0.00718785775118588
2015-06-01,0.004312826097432755
2015-06-02,0.003297264127343474
2015-06-03,-0.0025169157014286385
2015-06-04,-0.004906269829617341
2015-06-05,-0.011819234127212865
2015-06-08,-0.004245714424154799
2015-06-09,0.0013047361971245779
2015-06-10,0.006573755674786983
2015-06-11,0.002707384141155423
2015-06-12,-0.010542156584500258
2015-06-15,-0.013334384818465347
2015-06-16,0.01163889170459743
2015-06-17,-0.008596935937541716
2015-06-18,-0.0004372916342865066
2015-06-22,0.028984777399846694
2015-06-23,0.01053952563306729
2015-06-24,0.002802221099014487
2015-06-25,0.009675682931273626
2015-06-26,0.0031181315833092105
2015-06-29,-0.02082737761041219
2015-06-30,-0.005064521582886693
2015-07-01,0.002319184899142565
2015-07-02,0.01071874586243144
2015-07-06,-0.012317633047289384
2015-07-07,-0.016400529664809795
2015-07-08,0.001724094160730258
2015-07-09,0.028230771940652467
2015-07-10,0.018793794535798932
2015-07-13,0.015699870247286217
2015-07-14,0.010874650132467344
2015-07-15,0.002805592246282033
2015-07-16,-0.0026081444810029273
2015-07-17,0.004838938926550981
2015-07-20,0.0025269702070516214
2015-07-21,-0.009246085649991598
2015-07-22,-0.0017578958530384704
2015-07-23,-0.0007651539447670625
2015-07-24,-0.005548789712665944
2015-07-27,-0.012912829248530594
2015-07-28,-0.006980020277154832
2015-07-29,0.002844633393379799
2015-07-30,0.0003782977335186682
2015-07-31,0.0014716437214550406
2015-08-03,0.013120381204049842
2015-08-04,0.018195945826514296
2015-08-05,-0.003258398592097374
2015-08-06,0.024985657235969363
2015-08-07,0.004974198093940291
2015-08-10,0.023813118227954223
2015-08-11,-0.008217026531328681
2015-08-12,-0.026146324852658526
2015-08-13,0.011045174527452227
2015-08-14,-0.0027595814073312886
2015-08-17,0.0031821157843251774
2015-08-18,-0.006039290132187975
2015-08-19,-0.012346441072750685
2015-08-20,-0.016201255550305382
2015-08-21,-0.016685175012245722
2015-08-24,-0.05050989441926075
2015-08-25,0.03918167420311335
2015-08-26,-0.0060840552480361
2015-08-27,0.022897123159126963
2015-08-28,0.0038253170161154457
2015-08-31,-0.009689831183352097
2015-09-01,-0.015957590150942596
2015-09-02,0.007506039643896794
2015-09-03,0.034664765912497786
2015-09-04,-0.009912616691767557
2015-09-08,0.03502046573495814
2015-09-09,0.0046316102162111935
