date,daily_return
2015-01-02,0.0
2015-01-05,-0.01519396598776357
2015-01-07,0.00573560938974743
2015-01-08,0.00793571493290251
2015-01-09,-0.0023596094311485634
2015-01-12,0.009813943788239328
2015-01-13,0.014499754162808302
2015-01-14,-0.020389657896964678
2015-01-15,0.008047920128639674
2015-01-16,0.012358000230787465
2015-01-20,0.023536499031649692
2015-01-21,0.01642697269648885
2015-01-22,0.018107075844645108
2015-01-23,0.03263187207494889
2015-01-26,0.000497780687838914
2015-01-27,-0.010603015996060547
2015-01-28,0.006448262753268411
2015-01-29,0.0016544344733490151
2015-01-30,0.02635955116216812
2015-02-02,-0.004750144156698041
2015-02-03,0.013964420244819068
2015-02-04,0.014800354273727103
2015-02-05,0.01541331656386479
2015-02-06,-0.0013712837083647718
2015-02-09,0.023401430936232214
2015-02-10,-0.0011293546459568912
2015-02-11,-0.007783811999680965
2015-02-12,0.0029846177225706606
2015-02-13,0.005389246849629127
2015-02-17,0.018894974921348968
2015-02-18,0.01245778676861823
2015-02-19,-0.008943740874449256
2015-02-20,-0.0030276483690156873
2015-02-23,0.0012478550242469395
2015-02-24,0.012478278585391356
2015-02-25,0.0013552733969712486
2015-02-26,0.0028781350262722847
2015-02-27,-0.006163995927388386
2015-03-02,-0.008543145997022215
2015-03-03,-0.0038242425814231113
2015-03-04,0.008501183886451293
2015-03-05,-0.00015286290098559703
2015-03-06,0.0061203177678192935
2015-03-09,0.002084879479097419
2015-03-10,-0.004725534070474251
2015-03-11,0.011692790238068532
2015-03-12,-0.0029883010575415185
2015-03-13,-0.003699234655123275
2015-03-16,0.0035332979271707242
2015-03-17,0.0047160395593900985
2015-03-18,-0.0007013913626170609
2015-03-19,0.009324887739073947
2015-03-20,0.003042888405106709
2015-03-23,0.0008113359695863208
2015-03-24,0.0021122533268291962
2015-03-25,-0.0035850616752533147
2015-03-26,-0.018833579250205047
2015-03-27,0.010093105833182247
2015-03-30,0.0137279774221516
2015-03-31,-0.009561364731724798
2015-04-01,0.008272149354385359
2015-04-02,0.0020614612130700634
2015-04-07,0.00838139790619982
2015-04-08,0.010719165915968993
2015-04-09,0.014438768986456924
2015-04-10,0.007808236750859187
2015-04-13,0.018220386866390485
2015-04-14,0.0025567591375625725
2015-04-15,-0.0024775541571660223
2015-04-16,0.010487055450864112
2015-04-17,-0.009190699700408419
2015-04-20,0.005749754713728499
2015-04-21,0.011998917891742528
2015-04-22,-0.014889548818068515
2015-04-23,-0.000693590180001793
2015-04-24,0.005877291625289768
2015-04-27,-0.0028031234484599513
2015-04-28,-0.013211904341196287
2015-04-29,-0.0018793639846716942
2015-04-30,-0.0032465356188269476
2015-05-04,0.007693012879101143
2015-05-05,-0.017454382007015448
2015-05-06,0.002931509260782851
2015-05-07,0.016448280681108415
2015-05-08,0.016884070119123226
2015-05-11,-0.0067674627652128975
2015-05-12,-0.018814326317190898
2015-05-13,0.01255416402234813
2015-05-15,-0.001958544523017547
2015-05-18,-0.0038439006496563746
2015-05-19,0.016778928093697687
2015-05-20,0.0084498022409333
2015-05-21,0.0014985460148849799
2015-05-22,0.011129466081161034
2015-05-26,0.0015019492785286175
2015-05-27,0.011738497416950594
2015-05-28,-0.01208377291033345
2015-05-29,-0.01010500469965082
2015-06-01,0.007072341378430275
2015-06-02,-0.002422603430910806
2015-06-03,-0.0010969482270726282
2015-06-04,-0.007165904990278929
2015-06-05,-0.013750752550038057
2015-06-08,-0.004308327284363407
2015-06-09,-0.0005696945092440132
2015-06-10,0.005531884740729921
2015-06-11,0.003954969792991713
2015-06-12,-0.009898352485727058
2015-06-15,-0.01646501771296227
2015-06-16,0.01152023823713261
2015-06-17,-0.00862805411445159
2015-06-18,-0.0016009295873157386
2015-06-22,0.033852796898226734
2015-06-23,0.011323945988567716
2015-06-24,-0.0011842392658042303
2015-06-25,0.011939234528578794
2015-06-26,0.005744719177723673
2015-06-29,-0.02124059788431511
2015-06-30,-0.0054147764622768345
2015-07-01,-0.00032660141073997907
2015-07-02,0.014770292558790251
2015-07-06,-0.014733153766926093
2015-07-07,-0.023276855640486902
2015-07-08,0.0036999458126176074
2015-07-09,0.026966799458959356
2015-07-10,0.022572697619250764
2015-07-13,0.014529708138105554
2015-07-14,0.00951611211577506
2015-07-15,0.0029207683585824873
2015-07-16,-0.0014081082361255882
2015-07-17,0.00360458443877806
2015-07-20,0.004364902107503567
2015-07-21,-0.008183231617496213
2015-07-22,-0.002329854249970834
2015-07-23,-0.0004856776566572017
2015-07-24,-0.007615443090760289
2015-07-27,-0.011402831072176529
2015-07-28,-0.002642000827057843
2015-07-29,0.0008145698503238786
2015-07-30,0.004276416096357954
2015-07-31,-0.0009051205389304711
2015-08-03,0.01270542533033371
2015-08-04,0.013977845093285274
2015-08-05,0.002606072721680822
2015-08-06,0.025152914051470115
2015-08-07,0.0033059815891411186
2015-08-10,0.02621261375871635
2015-08-11,-0.010238536410392176
2015-08-12,-0.02769235919917732
2015-08-13,0.013209336929722915
2015-08-14,-0.001187187282554422
2015-08-17,0.001698121630935036
2015-08-18,-0.00450650409740903
2015-08-19,-0.011617384540001968
2015-08-20,-0.016329461744891357
2015-08-21,-0.018236471974620694
2015-08-24,-0.047834427783007644
2015-08-25,0.0397390088243046
2015-08-26,-0.005498623612011722
2015-08-27,0.02151016897916972
2015-08-28,0.009838568095849586
2015-08-31,-0.009670278304053391
2015-09-01,-0.017435710534820938
2015-09-02,0.007863103381911766
2015-09-03,0.029320127295668637
2015-09-04,-0.014743995388224301
2015-09-08,0.03432486769675096
